article_id,date,slot,source_id,video_id,title,path,frames_ok
oleg_agape_001_h49_am_глаза_устают_уже_днем_почему_отдыхат,2026-08-01,AM,H49,cMctA-E3vhg,Глаза устают уже днем: почему отдыхать нужно не только от экрана,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_001_h49_am_глаза_устают_уже_днем_почему_отдыхат,True
oleg_agape_002_h49_pm_что_происходит_с_фокусом_зрения_когд,2026-08-01,PM,H49,cMctA-E3vhg,"Что происходит с фокусом зрения, когда тело живет в постоянном напряжении",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_002_h49_pm_что_происходит_с_фокусом_зрения_когд,True
oleg_agape_003_h48_am_почему_глаза_садятся_к_вечеру_роль_ш,2026-08-02,AM,H48,99IBG0TYVLs,"Почему глаза “садятся” к вечеру: роль шеи, сна и восстановления",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_003_h48_am_почему_глаза_садятся_к_вечеру_роль_ш,True
oleg_agape_004_h48_pm_усталость_глаз_и_головная_тяжесть_ка,2026-08-02,PM,H48,99IBG0TYVLs,Усталость глаз и головная тяжесть: какие бытовые сигналы стоит заметить,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_004_h48_pm_усталость_глаз_и_головная_тяжесть_ка,True
oleg_agape_005_h40_am_лицо_выглядит_уставшим_почему_кремы_,2026-08-03,AM,H40,ZUJv02lVGVk,Лицо выглядит уставшим: почему кремы не всегда решают проблему,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_005_h40_am_лицо_выглядит_уставшим_почему_кремы_,True
oleg_agape_006_h40_pm_отеки_мимика_и_осанка_как_тело_влияе,2026-08-03,PM,H40,ZUJv02lVGVk,"Отеки, мимика и осанка: как тело влияет на свежесть лица",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_006_h40_pm_отеки_мимика_и_осанка_как_тело_влияе,True
oleg_agape_007_h32_am_морщины_как_след_напряжения_где_зака,2026-08-04,AM,H32,KIk_B6Ydtzs,Морщины как след напряжения: где заканчивается косметология и начинается привычка,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_007_h32_am_морщины_как_след_напряжения_где_зака,True
oleg_agape_008_h32_pm_почему_лицо_может_стареть_быстрее_ес,2026-08-04,PM,H32,KIk_B6Ydtzs,"Почему лицо может стареть быстрее, если тело не расслабляется",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_008_h32_pm_почему_лицо_может_стареть_быстрее_ес,True
oleg_agape_009_h47_am_сжимаете_зубы_и_не_замечаете_как_чел,2026-08-05,AM,H47,ag2JgnhWStQ,Сжимаете зубы и не замечаете: как челюсть связана с шеей и лицом,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_009_h47_am_сжимаете_зубы_и_не_замечаете_как_чел,True
oleg_agape_010_h47_pm_зажатая_челюсть_после_стресса_что_мо,2026-08-05,PM,H47,ag2JgnhWStQ,Зажатая челюсть после стресса: что можно проверить у себя,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_010_h47_pm_зажатая_челюсть_после_стресса_что_мо,True
oleg_agape_011_h46_am_почему_горло_может_ощущаться_зажатым,2026-08-06,AM,H46,qjqbM3H1y-E,"Почему горло может ощущаться зажатым, даже если воспаления нет",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_011_h46_am_почему_горло_может_ощущаться_зажатым,True
oleg_agape_012_h46_pm_глотка_шея_и_дыхание_как_тело_создае,2026-08-06,PM,H46,qjqbM3H1y-E,"Глотка, шея и дыхание: как тело создает ощущение внутреннего кома",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_012_h46_pm_глотка_шея_и_дыхание_как_тело_создае,True
oleg_agape_013_h18_am_ком_в_горле_после_болезни_почему_сим,2026-08-07,AM,H18,K9I1OMUVGmU,Ком в горле после болезни: почему симптом может задерживаться,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_013_h18_am_ком_в_горле_после_болезни_почему_сим,True
oleg_agape_014_h18_pm_когда_ком_в_горле_связан_со_стрессом,2026-08-07,PM,H18,K9I1OMUVGmU,"Когда ком в горле связан со стрессом, а когда нельзя откладывать врача",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_014_h18_pm_когда_ком_в_горле_связан_со_стрессом,True
oleg_agape_015_h23_am_почему_нос_закладывает_без_очевидной,2026-08-08,AM,H23,Ev_h3I32R-Q,Почему нос закладывает без очевидной простуды: телесный взгляд,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_015_h23_am_почему_нос_закладывает_без_очевидной,True
oleg_agape_016_h23_pm_носовые_капли_помогают_ненадолго_как,2026-08-08,PM,H23,Ev_h3I32R-Q,Носовые капли помогают ненадолго: какие факторы поддерживают заложенность,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_016_h23_pm_носовые_капли_помогают_ненадолго_как,True
oleg_agape_017_h30_am_дышать_носом_трудно_почему_стоит_смо,2026-08-09,AM,H30,NBEqVGS94QQ,"Дышать носом трудно: почему стоит смотреть на сон, шею и стресс",/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_017_h30_am_дышать_носом_трудно_почему_стоит_смо,False
oleg_agape_018_h30_pm_заложенность_носа_возвращается_что_т,2026-08-09,PM,H30,NBEqVGS94QQ,Заложенность носа возвращается: что тело может пытаться компенсировать,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_018_h30_pm_заложенность_носа_возвращается_что_т,True
oleg_agape_019_h21_am_храп_и_усталость_утром_почему_сон_мо,2026-08-10,AM,H21,sIBiarlyszo,Храп и усталость утром: почему сон может не восстанавливать,/Users/kirill/Documents/Codex/2026-06-20/files-mentioned-by-the-user-dzen/outputs/oleg_agape_dzen_august_62_drafts/oleg_agape_019_h21_am_храп_и_усталость_утром_почему_сон_мо,True
